Counter,Original QA,Created template,AQ-relation direction,First placeholder type,Found relation,Second placeholder type,Constraint relation,Example 1 expansion,Example 2 expansion
721,what was Arthur Conan Doyle famous for? Sherlock Holmes,what was _Q_ famous for? _A_,True,literary character,creator,human,No constraint relation,what was Lucy Maud Montgomery famous for? Anne Shirley,what was Henryk Sienkiewicz famous for? Onufry Zagłoba
724,what kind of guitar does Jemaine Clement play? Bass guitar,what kind of guitar does _Q_ play? _A_,False,No type,instrument,No type,No constraint relation,Search space issue,Search space issue
726,where is George Bush from? New Haven,where is _Q_ from? _A_,False,['human'],place of birth,"['city of the United States', 'big city']",No constraint relation,Search space issue,Search space issue
731,where did Phil Mickelson go to college? Arizona State University,where did _Q_ go to college? _A_,False,['human'],educated at,"['open-access publisher', 'public educational institution of the United States', 'university']",No constraint relation,Search space issue,Search space issue
732,what does guyana speak? English Language,what does _Q_ speak? _A_ Language,False,country,language used,modern language,No constraint relation,what does Hungary speak? Slovak Language,what does Finland speak? Chinese Language
735,what is the official language spoken in Mexico? Spanish Language,what is the official language spoken in _Q_? _A_ Language,False,sovereign state,official language,language,No constraint relation,what is the official language spoken in Central African Republic? French Language,what is the official language spoken in Guinea? French Language
736,what County is Minneapolis Mn in? Hennepin County,what County is _Q_ Mn in? _A_,True,skyscraper,located in the administrative territorial entity,big city,No constraint relation,what County is Toronto Mn in? L Tower,what County is Brazzaville Mn in? Nabemba Tower
738,what team is ronaldinho on? Clube Atlético Mineiro,what team is _Q_ on? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
741,who was cleopatra married too? Mark Antony,who was _Q_ married too? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
743,what was Jesse James wife name? Zerelda Mimms,what was _Q_ wife name? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
748,who voice acts Peter Griffin? Seth Macfarlane,who voice acts _Q_? _A_,False,gamer,voice actor,human,No constraint relation,who voice acts Peter Griffin? Jérôme Rebbot,who voice acts Peter Griffin? Oleg Forostenko
749,who was Charles Darwin married to? Emma Darwin,who was _Q_ married to? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
750,who plays Lynette on desperate housewives? Felicity Huffman,who plays Lynette on _Q_? _A_,False,television series,cast member,human,No constraint relation,who plays Lynette on CSI: Crime Scene Investigation? Alex Carter,who plays Lynette on CSI: Crime Scene Investigation? Jessica Lucas
752,what timezone is the state of Texas? Central Time Zone,what timezone is the state of _Q_? _A_,False,U.S. state,located in time zone,time zone,No constraint relation,what timezone is the state of Kansas? Central Time Zone,what timezone is the state of Indiana? Central Time Zone
757,what is vanderbilt university known for? Vanderbilt University School Of Medicine,what is _Q_ known for? _A_,False,open-access publisher,subsidiary,faculty,No constraint relation,what is Eötvös Loránd University known for? ELTE Faculty of Informatics,what is Vanderbilt University known for? Vanderbilt University Law School
758,what timezone is toronto gmt? North American Eastern Time Zone,what timezone is _Q_ gmt? _A_ Zone,False,city,located in time zone,time zone,No constraint relation,what timezone is Fier gmt? Central European Time Zone,what timezone is Kriva Palanka gmt? Central European Time Zone
759,where did James Baldwin go to school? Dewitt Clinton High School,where did _Q_ go to school? _A_,False,human,educated at,high school,No constraint relation,where did Bill Cunliffe go to school? Phillips Academy,where did George R. Carter go to school? Phillips Academy
761,who made The American Red Cross? Clara Barton,who made The _Q_? _A_,False,National Red Cross and Red Crescent Society,founded by,human,No constraint relation,who made The French Red Cross? Henry Dunant,who made The Yemen Red Crescent Society? Abdullah Alkhamesi
764,"who played Daniel Larusso? Ralph Macchio, Sr.","who played _Q_? _A_, Sr.",False,fictional human,performer,human,No constraint relation,"who played Lucius Fox? Brock Peters, Sr.","who played Dr. John Watson? Martin Freeman, Sr."
766,who does David Beckham play for in 2012? La Galaxy,who does _Q_ play for in 2012? _A_,False,['human'],member of sports team,"['association football club', 'association football team']",No constraint relation,Search space issue,Search space issue
768,where did macho camacho got shot at? San Juan,where did _Q_ got shot at? _A_,False,human,place of death,big city,No constraint relation,where did Zbigniew Szymański got shot at? Gdynia,where did Alojzy Nagel got shot at? Gdynia
771,who was the winner of the 2009 nobel peace prize? Barack Obama,who was the winner of the 2009 _Q_? _A_,False,peace award,winner,human,No constraint relation,who was the winner of the 2009 Nobel Peace Prize? Mother Teresa,who was the winner of the 2009 Nobel Peace Prize? Juan Manuel Santos
772,who is ruling North Korea now? Kim Jong-Un,who is ruling _Q_ now? _A_,False,people's republic,head of state,human,No constraint relation,who is ruling Cook Islands now? Elizabeth II,who is ruling Bangladesh now? Abdul Hamid
773,who does cristiano ronaldo play for now 2011? Portugal national football team,who does _Q_ play for now 2011? Portugal national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
776,what instrument does Mike Huckabee play? Bass guitar,what instrument does _Q_ play? _A_,False,No type,instrument,No type,No constraint relation,Search space issue,Search space issue
778,what region is Czech republic in? Central Europe,what region is _Q_ in? _A_,False,sovereign state,part of,geographic region,No constraint relation,what region is Turkey in? Western Asia,what region is Venezuela in? Latin America
779,what continent is greenland located? North America,what continent is _Q_ located? _A_,False,island nation,continent,continent,No constraint relation,what continent is Bizone located? Europe,what continent is East Timor located? Asia
781,who did Wayne Gretzky play 4? Edmonton Oilers,who did _Q_ play 4? _A_,False,human,member of sports team,ice hockey team,No constraint relation,who did Ilya Byakin play 4? HC Lada Togliatti,who did Vladimir Denisov play 4? HC Lada Togliatti
786,what is Brazilian jiu jitsu? Martial arts,what is _Q_? _A_,False,martial arts,instance of,type of sport,No constraint relation,what is Shindenkai? martial arts,what is Karate Combat? martial arts
787,what are the major languages in Italy? Italian Language,what are the major languages in _Q_? _A_ Language,False,country,country,country,No constraint relation,what are the major languages in Jordan? Jordan Language,what are the major languages in Oman? Oman Language
795,who do Nate Robinson play for? Chicago Bulls,who do _Q_ play for? _A_,False,human,member of sports team,basketball team,No constraint relation,who do Miro Bilan play for? ASVEL Basket,who do Joe Stephens play for? ASVEL Basket
796,where does the panama canal run through? Panama Canal Zone,where does the _Q_ run through? _A_,True,unincorporated territory,named after,ship canal,No constraint relation,where does the Panama Canal run through? Panama Canal Zone,No second example
798,what did Gerald Ford do? President of The United States,what did _Q_ do? President of The _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
799,what is the rainforest in Peru called? Amazon rainforest,what is the rainforest in _Q_ called? _A_,True,tropical forest,country,sovereign state,No constraint relation,what is the rainforest in Peru called? Amazon rainforest,what is the rainforest in Venezuela called? Amazon rainforest
802,who is the ravens quarterback 2012? Joe Flacco,who is the ravens _Q_ 2012? _A_,True,human,position played on team / speciality,American football position,No constraint relation,who is the ravens tackle 2012? Dave Wannstedt,who is the ravens tackle 2012? Duke Slater
803,who is the current leader of China and what is their title? Xi Jinping,who is the current leader of _Q_ and what is their title? _A_,False,people's republic,head of state,human,No constraint relation,who is the current leader of Cook Islands and what is their title? Elizabeth II,who is the current leader of Bangladesh and what is their title? Abdul Hamid
805,what is a king charles cavalier dog? Toy Group,what is a king charles cavalier _Q_? _A_,True,dog type,subclass of,organisms known by a particular common name,No constraint relation,what is a king charles cavalier dog? Indian pariah dog,what is a king charles cavalier dog? Royal Bourbon
808,who was the voice of darth vader in episode iii? Hayden Christensen,who was the voice of _Q_ in episode iii? _A_,False,fictional human,performer,human,No constraint relation,who was the voice of Lucius Fox in episode iii? Brock Peters,who was the voice of Dr. John Watson in episode iii? Martin Freeman
810,who is the head coach of the New Orleans saints? Sean Payton,who is the head coach of the _Q_? _A_,False,American football team,head coach,human,No constraint relation,who is the head coach of the 1910 Fairmount Wheatshockers football team? Roy K. Thomas,who is the head coach of the Clemson Tigers football? Dabo Swinney
813,what all did Michael Jackson own? Neverland Ranch,what all did _Q_ own? _A_,False,['human'],owner of,"['building', 'estate', 'park']",No constraint relation,Search space issue,Search space issue
814,what form of government does Canada have? Parliamentary system,what form of government does _Q_ have? _A_,False,country,basic form of government,form of government,No constraint relation,what form of government does Estonia have? republic,what form of government does Ivory Coast have? republic
815,what language does people speak in Australia? English Language,what language does people speak in _Q_? _A_ Language,False,country,language used,language,No constraint relation,what language does people speak in Algeria? French Language,what language does people speak in Algeria? French Language
816,who married Jessica Simpson? Nick Lachey,who married _Q_? _A_,True,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
818,who controls Panama? Ricardo Martinelli,who controls _Q_? _A_,True,['human'],country of citizenship,['sovereign state'],No constraint relation,Search space issue,Search space issue
821,who helped China in Ww2? United States Of America,who helped _Q_ in Ww2? _A_,False,sovereign state,diplomatic relation,federal republic,No constraint relation,who helped Uzbekistan in Ww2? United States of America,who helped Australia in Ww2? United States of America
822,what race are Arabs? Semitic people,what race are _Q_? _A_,False,ethnic group,part of,panethnicity,No constraint relation,what race are Palestinians? Semitic people,what race are Taiwanese indigenous peoples? Austronesian people
826,what continent does the Bahamas belong to? North America,what continent does the _Q_ belong to? _A_,False,country,continent,continent,No constraint relation,what continent does the Tanzania belong to? Africa,what continent does the Comoros belong to? Africa
830,"where is Bob Marley from where was he born? Nine Mile, Jamaica",where is _Q_ from where was he born? _A_,False,['human'],place of birth,"['human settlement', 'town']",No constraint relation,Search space issue,Search space issue
833,what currency can you use in Aruba? Aruban florin,what _Q_ can you use in Aruba? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
836,who played Carlton Banks? Alfonso Ribeiro,who played _Q_? _A_,False,television series,cast member,human,No constraint relation,who played Twin Peaks? Joan Chen,who played Breaking Bad? Harry Groener
838,who is the current leader of Cuba today? Raúl Castro,who is the current leader of _Q_ today? _A_,True,['human'],country of citizenship,"['country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
840,"what hotel should i stay in San Francisco? Palace Hotel, San Francisco",what _Q_ should i stay in San Francisco? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
842,who is Angelina Jolie husband name? Brad Pitt,who is _Q_ husband name? _A_,False,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
847,when did the colts last win the superbowl? Super Bowl XLI,when did the colts last win the _Q_? Super Bowl _A_,True,Super Bowl,instance of,recurring sporting event,No constraint relation,when did the colts last win the Super Bowl? Super Bowl Super Bowl XIX,when did the colts last win the Super Bowl? Super Bowl Super Bowl LV
853,who plays Effy in skins Uk? Kaya Scodelario,who plays Effy in _Q_? _A_,False,television series,cast member,human,No constraint relation,who plays Effy in More Than Life at Stake? Janusz Paluszkiewicz,who plays Effy in More Than Life at Stake? Zygmunt Zintel
856,what are the official languages in Spain? Spanish Language,what are the official languages in _Q_? _A_ Language,False,sovereign state,official language,language,No constraint relation,what are the official languages in Uruguay? Spanish Language,what are the official languages in San Marino? Italian Language
857,what club did Santi Cazorla play for? Spain national football team,what club did _Q_ play for? Spain national _A_ team,False,['human'],sport,"['type of sport', 'Olympic sport', 'spectator sport']",No constraint relation,Search space issue,Search space issue
858,what highschool did bill gates graduated from? Lakeside School,what highschool did _Q_ graduated from? _A_,False,human,educated at,school,No constraint relation,what highschool did Rudolf Kocéa graduated from? Staatliche Zeichenakademie Hanau,what highschool did Jon Snow graduated from? St Edward's School
859,where does the Atlanta braves play? Turner Field,where does the _Q_ play? _A_,True,architectural structure,operator,baseball team,No constraint relation,where does the Atlanta Braves play? Turner Field,where does the Colorado Rockies play? Coors Field
861,what do people from Spain speak? Spanish Language,what do people from _Q_ speak? _A_ Language,False,sovereign state,language used,modern language,No constraint relation,what do people from Finland speak? Bulgarian Language,what do people from Finland speak? Croatian Language
862,when will muharram start 2011? Islamic calendar,when will _Q_ start 2011? _A_,False,calendar month,part of,lunar calendar,No constraint relation,when will Muharram start 2011? Islamic calendar,when will uMandulo start 2011? Zulu calendar
870,who did George Wendt play on cheers? Norm Peterson,who did _Q_ play on cheers? _A_,True,fictional human,performer,human,No constraint relation,who did Atsuko Tanaka play on cheers? Poison,who did Johnny Galecki play on cheers? Leonard Hofstadter
877,who is the publisher of The Wall Street Journal? Dow Jones & Company,who is the publisher of The _Q_? _A_,False,daily newspaper,publisher,business,No constraint relation,who is the publisher of The Seattle Post-Intelligencer? Hearst Communications,who is the publisher of The The Sun? News Corp
880,what position did John Stockton play? Point guard,what position did _Q_ play? _A_,False,human,position played on team / speciality,basketball position,No constraint relation,what position did Petri Virtanen play? point guard,what position did Raúl Pérez Varela play? point guard
884,who did Troy Aikman play for? Dallas Cowboys,who did _Q_ play for? _A_,False,human,member of sports team,American football team,No constraint relation,who did Dave LaFary play for? New Orleans Saints,who did Dave Parks play for? New Orleans Saints
887,what continent is greenland apart of? North America,what continent is _Q_ apart of? _A_,False,island nation,continent,continent,No constraint relation,what continent is Bizone apart of? Europe,what continent is East Timor apart of? Asia
889,who made the ancient Egyptian pyramids? Ancient Egypt,who made the ancient _Q_? _A_,False,necropolis,country of origin,historical region,No constraint relation,who made the ancient Vicenne necropolis? Langobardia Minor,who made the ancient Giza pyramid complex? Ancient Egypt
890,where did the San Diego chargers originate? Los Angeles Chargers,where did the _Q_ originate? _A_,False,aspect of history,facet of,American football team,No constraint relation,where did the history of the Cincinnati Bengals originate? Cincinnati Bengals,where did the history of the Seattle Seahawks originate? Seattle Seahawks
891,who was the voice of nemo's dad? Albert Brooks,who was the voice of _Q_'s dad? _A_,False,animated feature film,voice actor,human,No constraint relation,who was the voice of Peter Pan's dad? Connie Hilton,who was the voice of Peter Pan's dad? Tony Butala
892,who was king george v father? Edward VII,who was _Q_ v father? _A_,False,['human'],father,['human'],No constraint relation,Search space issue,Search space issue
900,when did Carolina hurricanes win the cup? 2006 Stanley Cup Finals,when did _Q_ win the cup? _A_,True,Stanley Cup,winner,ice hockey team,No constraint relation,when did Pittsburgh Penguins win the cup? 2017 Stanley Cup Finals,when did St. Louis Blues win the cup? 2019 Stanley Cup Finals
901,who does Jr Smith play for 2012? New York Knicks,who does _Q_ play for 2012? _A_,False,human,member of sports team,basketball team,No constraint relation,who does Henri Rey play for 2012? ASVEL Basket,who does Arsène Ade-Mensah play for 2012? ASVEL Basket
902,who currently owns the Steelers? Rooney family,who currently owns the _Q_? _A_,False,American football team,owned by,family,No constraint relation,who currently owns the Pittsburgh Steelers? Rooney family,No second example
903,who has Dirk Nowitzki played for? Dallas Mavericks,who has _Q_ played for? _A_,False,human,member of sports team,basketball team,No constraint relation,who has Henri Rey played for? ASVEL Basket,who has Arsène Ade-Mensah played for? ASVEL Basket
905,where is Shoreview Mn? Ramsey County,where is _Q_ Mn? _A_,False,city of the United States,located in the administrative territorial entity,county of Minnesota,No constraint relation,where is Anoka Mn? Anoka County,where is Lauderdale Mn? Ramsey County
906,what club team does Ronaldinho play for? Clube Atlético Mineiro,what club team does _Q_ play for? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
911,"what Mark Zuckerberg? Facebook, Inc.",what _Q_? _A_,True,website,creator,public company,No constraint relation,what Google? Google Notebook,what Google? Google Notebook
912,who did Japan surrender to in ww2? Iwane Matsui,who did _Q_ surrender to in ww2? _A_,True,['human'],country of citizenship,"['island nation', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
913,what basketball team does Kris Humphrey play for? Brooklyn Nets,what _Q_ team does Kris Humphrey play for? _A_,True,basketball team,sport,Olympic sport,No constraint relation,what basketball team does Kris Humphrey play for? Basket Brescia Leonessa,what basketball team does Kris Humphrey play for? Basket Zaragoza 2002
914,what is time zone in Hawaii? Hawaii–Aleutian Time Zone,what is _Q_ in Hawaii? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
916,who played princess leia's mother in star wars? Padmé Amidala,who played _Q_'s mother in star wars? _A_,False,fictional human,mother,fictional human,No constraint relation,who played Mutt Williams's mother in star wars? Marion Ravenwood,who played Prince Hamlet's mother in star wars? Gertrude
919,from which university did president Obama receive his bachelor's degree? University Of Chicago,from which university did president _Q_ receive his bachelor's degree? University Of _A_,False,human,work location,city of Illinois,No constraint relation,from which university did president Barack Obama receive his bachelor's degree? University Of Chicago,from which university did president Gus Kahn receive his bachelor's degree? University Of Chicago
925,what division is Cincinnati bengals in? Afc North,what division is _Q_ in? _A_,False,American football team,part of,sports division,No constraint relation,what division is Arizona Cardinals in? NFC West,what division is San Francisco 49ers in? NFC West
926,who is the current president of China 2010? Hu Jintao,who is the current president of _Q_ 2010? _A_,True,['human'],country of citizenship,"['communist state', 'state with limited recognition', 'dictatorship of the proletariat', 'secular state', 'country', 'constitutional republic', 'sovereign state', 'socialist state', ""people's republic""]",No constraint relation,Search space issue,Search space issue
932,what time zone is Fresno ca? Pacific Time Zone,what _Q_ is Fresno ca? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
936,where did Robert Pattinson go to acting school? The Harrodian School,where did _Q_ go to acting school? The _A_,False,human,educated at,school,No constraint relation,where did Jonathan Starr go to acting school? The Worcester Academy,where did Donnie Nelson go to acting school? The Worcester Academy
938,who won the super bowl xliv 2010? New Orleans Saints,who won the _Q_ xliv 2010? _A_,False,Super Bowl,winner,American football team,No constraint relation,who won the Super Bowl XVIII xliv 2010? Los Angeles Raiders,who won the Super Bowl XXXIX xliv 2010? New England Patriots
942,who does cristiano ronaldo play for? Real Madrid C.F.,who does _Q_ play for? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
945,who is Clint Eastwood dating? Dina Eastwood,who is _Q_ dating? _A_,True,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
952,who does leia think her father is? Bail Organa,who does _Q_ think her father is? _A_,False,fictional human,relative,fictional human,No constraint relation,who does Georgiana Darcy think her father is? Elizabeth Bennet,who does Calanthe think her father is? Cirilla Fiona Elen Riannon
953,who is president of France? Nicolas Sarkozy,who is president of _Q_? _A_,True,['human'],country of citizenship,"['republic', 'country', 'Mediterranean country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
957,who plays batman in 2012? Christian Bale,who plays _Q_ in 2012? _A_,False,comics character,performer,human,No constraint relation,who plays Superman in 2012? Channing Tatum,who plays Superman in 2012? Tom Welling
962,what form of government does Czech republic have? Parliamentary republic,what form of government does _Q_ have? _A_,False,country,basic form of government,form of government,No constraint relation,what form of government does New Zealand have? parliamentary monarchy,what form of government does Singapore have? parliamentary republic
963,who is the leader of Syria now? Bashar Al-Assad,who is the leader of _Q_ now? _A_,False,country,head of state,human,No constraint relation,who is the leader of Cook Islands now? Elizabeth II,who is the leader of Niue now? Patsy Reddy
964,what movies has Renee Zellweger been in? Bridget Jones'S Diary,what movies has _Q_ been in? _A_,True,['film'],cast member,['human'],No constraint relation,Search space issue,Search space issue
969,what money do they use in Thailand? Thai baht,what money do they use in _Q_? _A_,False,sovereign state,currency,currency,No constraint relation,what money do they use in Samoa? Samoan tālā,what money do they use in Solomon Islands? Solomon Islands dollar
970,who plays Stewie Griffin'S voice family guy? Seth Macfarlane,who plays _Q_ Griffin'S voice family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who plays Ran Mouri Griffin'S voice family guy? Núria Trifol,who plays Ash Ketchum Griffin'S voice family guy? Balázs Szvetlov
972,where did Paul Rudd go to high school? Shawnee Mission West High School,where did _Q_ go to high school? _A_,False,human,educated at,high school,No constraint relation,where did Bill Cunliffe go to high school? Phillips Academy,where did George R. Carter go to high school? Phillips Academy
973,who plays jacob black in twilight? Taylor Lautner,who plays _Q_ in twilight? _A_,False,literary character,performer,human,No constraint relation,who plays Smaug in twilight? Benedict Cumberbatch,who plays Superman in twilight? Kyle MacLachlan
975,what airport is close to Scottsdale Arizona? Scottsdale Airport,what airport is close to Scottsdale _Q_? _A_,True,airport,located in the administrative territorial entity,U.S. state,No constraint relation,what airport is close to Scottsdale Oregon? Dry Creek Airpark,what airport is close to Scottsdale Maine? Biddeford Municipal Airport
976,who plays Noah Bennet? Jack Coleman,who plays _Q_? _A_,False,fictional human,performer,human,No constraint relation,who plays Lucius Fox? Brock Peters,who plays Dr. John Watson? Martin Freeman
